6.97e-05	0.0003539	9e-07	8.9e-06	6.11e-05	
0.0003334	0.0008669	2e-06	3.24e-05	0.0003173	
0.0013242	0.0018853	3.7e-06	4.32e-05	0.0012955	
0.134507	0.0258164	3.71e-05	0.0006165	0.142765	
13.6644	0.294522	0.0003855	0.0073454	14.5432	

0.0001616	0.0003489	5.22e-05	7.7e-06	5.03e-05	
0.0010918	0.0016788	0.0003433	2.17e-05	0.0003267	
0.0047973	0.0018523	0.0012745	4.17e-05	0.0011595	
0.513494       	0.0245409	0.154014	0.000536	0.132849	
47.4843	0.291353	14.6611	0.0058545	13.9356	

0.0001366	0.0003286	2.76e-05	1.9e-05	6.39e-05	
0.0008521	0.0008638	0.0001654	5.03e-05	0.0003596	
0.003379	0.0019271	0.0009581	0.0001905	0.0016018	
0.510292	0.0297056	0.0824215	0.0012623	0.1474	
49.1877	0.272523	7.33844	0.0155157	15.5875	

